epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.387,2.22009,2.78466,1.94934,0.22023,0.21317,0.1265,0.04467,2.35892,3.02654,1.91065,0.000554101,0.000554101,0.000554101
2,764.662,2.18422,2.42272,1.91215,0.23698,0.15243,0.11591,0.04116,2.344,2.98694,1.90515,0.000926656,0.000926656,0.000926656
3,1708.55,2.1731,2.29534,1.88289,0.3319,0.26622,0.21804,0.08102,2.1882,2.42144,1.77576,0.00111584,0.00111584,0.00111584
4,2873.6,2.12031,2.17264,1.84977,0.37796,0.30821,0.27639,0.11148,2.10316,2.32434,1.71291,0.000841835,0.000841835,0.000841835
5,3239.77,2.05432,2.06693,1.79924,0.45472,0.35933,0.34898,0.14441,2.04742,2.04119,1.62775,0.00056678,0.00056678,0.00056678
6,3613.71,1.99064,1.93481,1.74604,0.49586,0.4142,0.4088,0.17538,1.94784,1.88764,1.57337,0.000291725,0.000291725,0.000291725
